Warehouse,Region,Product_Category,Month,Units_Shipped,CostPerUnit,TotalCost
Whse_A,Region_A,Category_001,2017-01,33.4,3.5,116.89999999999999
Whse_A,Region_A,Category_003,2013-06,762.95,3.5,2670.3250000000003
Whse_A,Region_A,Category_003,2013-07,1121.27,3.5,3924.4449999999997
Whse_A,Region_A,Category_003,2013-08,1551.19,3.5,5429.165
Whse_A,Region_A,Category_003,2013-09,1093.65,3.5,3827.7750000000005
Whse_A,Region_A,Category_003,2013-11,1279.65,3.5,4478.775000000001
Whse_A,Region_A,Category_003,2014-01,1974.94,3.5,6912.29
Whse_A,Region_A,Category_003,2014-02,1640.85,3.5,5742.974999999999
Whse_A,Region_A,Category_003,2014-03,2127.6,3.5,7446.599999999999
Whse_A,Region_A,Category_003,2014-04,952.6,3.5,3334.1
Whse_A,Region_A,Category_003,2014-05,753.56,3.5,2637.46
Whse_A,Region_A,Category_003,2014-06,529.06,3.5,1851.7099999999998
Whse_A,Region_A,Category_003,2014-07,799.2,3.5,2797.2000000000003
Whse_A,Region_A,Category_003,2014-08,296.41,3.5,1037.4350000000002
Whse_A,Region_A,Category_003,2014-09,1198.8,3.5,4195.8
Whse_A,Region_A,Category_003,2014-10,996.77,3.5,3488.6949999999997
Whse_A,Region_A,Category_003,2014-11,1667.67,3.5,5836.845
Whse_A,Region_A,Category_003,2015-05,1763.11,3.5,6170.884999999999
Whse_A,Region_A,Category_003,2015-10,1589.84,3.5,5564.44
Whse_A,Region_A,Category_003,2015-12,2184.55,3.5,7645.925000000001
Whse_A,Region_A,Category_003,2016-01,392.95,3.5,1375.325
Whse_A,Region_A,Category_003,2016-04,54.96,3.5,192.36
Whse_A,Region_A,Category_003,2016-08,27.18,3.5,95.13
Whse_A,Region_A,Category_003,2016-09,134.5,3.5,470.75
Whse_A,Region_A,Category_003,2016-12,206.82,3.5,723.87
Whse_A,Region_A,Category_003,2012-01,1479.7,3.5,5178.95
Whse_A,Region_A,Category_003,2012-02,1704.99,3.5,5967.465
Whse_A,Region_A,Category_003,2012-03,2232.08,3.5,7812.28
Whse_A,Region_A,Category_003,2012-04,1695.6,3.5,5934.599999999999
Whse_A,Region_A,Category_003,2012-05,2625.16,3.5,9188.06
Whse_A,Region_A,Category_003,2012-06,1168.46,3.5,4089.61
Whse_A,Region_A,Category_003,2012-07,939.34,3.5,3287.69
Whse_A,Region_A,Category_003,2012-08,349.45,3.5,1223.075
Whse_A,Region_A,Category_003,2012-09,456.07,3.5,1596.245
Whse_A,Region_A,Category_003,2012-10,1113.97,3.5,3898.895
Whse_A,Region_A,Category_003,2012-11,951.94,3.5,3331.79
Whse_A,Region_A,Category_003,2012-12,1001.57,3.5,3505.4950000000003
Whse_A,Region_A,Category_003,2013-01,586.51,3.5,2052.785
Whse_A,Region_A,Category_003,2013-02,780.84,3.5,2732.94
Whse_A,Region_A,Category_003,2013-03,535.42,3.5,1873.9699999999998
Whse_A,Region_A,Category_003,2013-04,680.28,3.5,2380.98
Whse_A,Region_A,Category_003,2013-05,1040.6,3.5,3642.0999999999995
Whse_A,Region_A,Category_003,2013-10,1188.48,3.5,4159.68
Whse_A,Region_A,Category_003,2013-12,1669.45,3.5,5843.075
Whse_A,Region_A,Category_003,2014-12,1719.64,3.5,6018.740000000001
